Date,Open,High,Low,Close,Volume
15/02/2019,190.169998,191.479996,189.210007,191.470001,1516800
14/02/2019,188.309998,190.009995,188.050003,189.210007,1683500
13/02/2019,188.820007,189.649994,188.229996,189.289993,1058100
12/02/2019,187.419998,188.669998,187.300003,188.320007,992100
11/02/2019,185.699997,186.470001,185.149994,186.380005,1105300
08/02/2019,184.520004,185.559998,183.690002,185.190002,1324300
07/02/2019,185.229996,185.910004,183.770004,185.330002,1356900
06/02/2019,186.190002,186.649994,185.539993,186.229996,1818300
05/02/2019,185.820007,186.589996,185.369995,186.320007,1482300
04/02/2019,184.080002,185.639999,183.309998,185.630005,1227600
01/02/2019,183.710007,184.259995,182.910004,183.770004,1904500
31/01/2019,182.360001,183.619995,181.830002,183.149994,1684200
30/01/2019,182.009995,183.339996,180.580002,182.520004,1138800
29/01/2019,181.639999,182.070007,180.970001,181.440002,1558100
28/01/2019,180.220001,181.619995,179.919998,181.429993,1311600
25/01/2019,181.190002,182.059998,180.990005,181.660004,1349300
24/01/2019,178.360001,180.139999,178.330002,179.699997,1164200
23/01/2019,179.5,180.080002,176.949997,178.509995,1134900
22/01/2019,180.550003,180.759995,177.789993,178.779999,1540700
18/01/2019,180.100006,181.929993,179.690002,181.449997,1710800
17/01/2019,176.759995,179.839996,176.740005,179.160004,2331000
16/01/2019,176.25,177.899994,176.25,177.320007,1693800
15/01/2019,175.369995,176.300003,174.880005,176.080002,2551800
14/01/2019,174.770004,175.929993,174.490005,175.009995,1385200
11/01/2019,175.169998,176.360001,174.660004,176.059998,2830400
10/01/2019,173.529999,175.960007,173.220001,175.919998,1244400
09/01/2019,173.699997,175.070007,173.110001,174.580002,2109100
08/01/2019,171.660004,172.929993,170.429993,172.889999,1726100
07/01/2019,168.240005,171.300003,167.570007,170.050003,3027300
04/01/2019,165,168.800003,164.809998,168.220001,1462200
03/01/2019,164.770004,165.619995,162.080002,162.830002,1877400
02/01/2019,163.860001,166.350006,162.779999,165.520004,2605900
31/12/2018,165.210007,166.059998,163.550003,166.059998,4747500
28/12/2018,164.889999,166.470001,163.320007,164.309998,4092300
27/12/2018,161.300003,164.460007,158.899994,164.449997,5025200
26/12/2018,157.059998,163.589996,156.130005,163.520004,4262600
24/12/2018,159.679993,160.220001,156.360001,156.479996,3111400
21/12/2018,164.699997,166.139999,160.289993,160.710007,4322900
20/12/2018,165.389999,166.759995,162.169998,164.100006,4165000
19/12/2018,169.100006,171.339996,165.300003,166.119995,4073300
18/12/2018,170.270004,171.5,168.440002,169.059998,2714200
17/12/2018,172.360001,173.25,168.270004,169.089996,2713400
14/12/2018,174.429993,175.910004,172.809998,173.350006,1716500
13/12/2018,178.190002,178.720001,175.679993,175.820007,1914900
12/12/2018,178.399994,179.949997,177.600006,177.639999,2053200
11/12/2018,179.050003,179.850006,175.570007,176.259995,2379500
10/12/2018,177.869995,178.399994,174.419998,176.820007,2688300
07/12/2018,181.660004,182.919998,177.050003,177.929993,2215400
06/12/2018,179.979996,181.729996,177.059998,181.669998,4255300
04/12/2018,189.119995,189.300003,182.419998,182.649994,1874300
03/12/2018,190.350006,190.380005,187.429993,189.429993,4234400
30/11/2018,186.309998,188.110001,186.020004,187.789993,1705700
29/11/2018,186.110001,187.789993,184.929993,186.529999,1009700
28/11/2018,183.720001,186.759995,182.080002,186.729996,1146000
27/11/2018,183.800003,184.309998,182.539993,183.089996,1103600
26/11/2018,183.649994,185.080002,183.440002,184.580002,917800
23/11/2018,181.229996,183.679993,181.039993,182.270004,395000
21/11/2018,181.25,184.110001,181.240005,182.520004,881400
20/11/2018,181.539993,182.75,179.820007,180.570007,1551000
19/11/2018,185.910004,186.600006,183.050003,183.699997,2572900
16/11/2018,185.259995,186.740005,184.820007,186.199997,1450100
15/11/2018,182.929993,186.419998,182.169998,186.070007,2440100
14/11/2018,186.550003,187.029999,182.580002,183.889999,1510400
13/11/2018,185.509995,187.309998,184.490005,184.970001,1311100
12/11/2018,187.720001,188,184.600006,184.880005,1062000
