Date,DailyProfit,ActiveSignals
29/06/2015 00:00:00,-2.435599,1
09/07/2015 00:00:00,10,1
21/08/2015 00:00:00,-11.84162,1
12/11/2015 00:00:00,2.907872,1
23/11/2015 00:00:00,0.341334,1
04/12/2015 00:00:00,-3.5,1
09/12/2015 00:00:00,-5.6,2
10/12/2015 00:00:00,-3.5,1
11/12/2015 00:00:00,20,2
21/12/2015 00:00:00,2.905197,1
22/12/2015 00:00:00,-0.8955239,1
06/01/2016 00:00:00,-7,2
07/01/2016 00:00:00,-5.6,2
29/01/2016 00:00:00,0.3966304,1
18/02/2016 00:00:00,0.1316655,1
02/03/2016 00:00:00,-0.251414,1
18/03/2016 00:00:00,0.03673173,1
31/03/2016 00:00:00,0.3175178,1
05/04/2016 00:00:00,3.980247,1
11/04/2016 00:00:00,6,1
13/04/2016 00:00:00,0.06797317,1
27/04/2016 00:00:00,-7,2
28/04/2016 00:00:00,-2.1,1
03/05/2016 00:00:00,-0.1425146,1
05/05/2016 00:00:00,6.636879,2
13/05/2016 00:00:00,-0.04648239,1
17/05/2016 00:00:00,5.421689,1
19/05/2016 00:00:00,8.08234,2
10/06/2016 00:00:00,-2.1,1
13/06/2016 00:00:00,13.46154,2
14/06/2016 00:00:00,0.3755682,1
21/06/2016 00:00:00,-5.199999,1
24/06/2016 00:00:00,6,1
28/06/2016 00:00:00,15.70881,2
25/07/2016 00:00:00,6.929734,2
02/08/2016 00:00:00,10.9154,2
24/08/2016 00:00:00,-0.08097094,1
25/08/2016 00:00:00,6.29311,2
09/09/2016 00:00:00,-2.1,1
13/09/2016 00:00:00,19.15422,3
12/10/2016 00:00:00,1.942379,1
13/10/2016 00:00:00,0.2648013,1
18/10/2016 00:00:00,6.450591,2
27/10/2016 00:00:00,-3.5,1
31/10/2016 00:00:00,-5.6,2
02/11/2016 00:00:00,9.35323,2
03/11/2016 00:00:00,-0.6026171,1
04/11/2016 00:00:00,10,1
11/11/2016 00:00:00,0.1374823,1
18/11/2016 00:00:00,0.3071692,1
02/12/2016 00:00:00,10.69927,2
16/12/2016 00:00:00,-0.2560459,1
28/12/2016 00:00:00,3.375511,1
30/12/2016 00:00:00,16.48402,2
03/01/2017 00:00:00,-0.395145,1
10/01/2017 00:00:00,1.671303,2
19/01/2017 00:00:00,13.54772,2
01/02/2017 00:00:00,3.131749,2
15/02/2017 00:00:00,-2.467053,1
24/02/2017 00:00:00,5.113313,2
28/02/2017 00:00:00,1.923745,1
02/03/2017 00:00:00,0.03627863,1
06/03/2017 00:00:00,0.03598554,1
08/03/2017 00:00:00,8.738434,3
20/03/2017 00:00:00,-7,2
22/03/2017 00:00:00,1.874999,1
23/03/2017 00:00:00,8.169727,2
07/04/2017 00:00:00,-0.1016001,1
10/04/2017 00:00:00,-2.1,1
12/04/2017 00:00:00,4.186042,2
17/05/2017 00:00:00,5.255476,1
22/06/2017 00:00:00,-6.966691,3
03/07/2017 00:00:00,4.116217,2
01/08/2017 00:00:00,-7,2
10/08/2017 00:00:00,-0.02255691,1
11/08/2017 00:00:00,7.234484,3
21/08/2017 00:00:00,6.705667,2
07/09/2017 00:00:00,10.60252,2
25/09/2017 00:00:00,7.921566,2
26/09/2017 00:00:00,0.2893905,1
09/10/2017 00:00:00,2.645031,1
20/10/2017 00:00:00,-3.5,1
26/10/2017 00:00:00,0.2363678,1
09/11/2017 00:00:00,-7,2
14/11/2017 00:00:00,0.5258283,1
15/11/2017 00:00:00,15.39191,2
01/12/2017 00:00:00,0.08998637,1
06/12/2017 00:00:00,11.29807,2
29/12/2017 00:00:00,8.11263,3
29/01/2018 00:00:00,-2.1,1
31/01/2018 00:00:00,-7,2
02/02/2018 00:00:00,-9.5842,4
05/02/2018 00:00:00,-19.03446,2
06/02/2018 00:00:00,-7,2
09/02/2018 00:00:00,22.35265,2
02/03/2018 00:00:00,13.26534,3
21/03/2018 00:00:00,-7,2
22/03/2018 00:00:00,-9.1,3
26/03/2018 00:00:00,-0.1316872,1
24/04/2018 00:00:00,-0.09108448,1
25/04/2018 00:00:00,7.256515,2
21/05/2018 00:00:00,-0.1725996,1
29/05/2018 00:00:00,19.52203,2
05/06/2018 00:00:00,0.1453481,1
19/06/2018 00:00:00,-7,2
25/06/2018 00:00:00,2.089469,2
10/07/2018 00:00:00,0.05953705,1
25/07/2018 00:00:00,0.3220075,1
30/07/2018 00:00:00,3.810188,1
31/07/2018 00:00:00,11.75212,3
10/08/2018 00:00:00,-7,2
13/08/2018 00:00:00,2.207966,1
24/08/2018 00:00:00,0.2997455,1
10/09/2018 00:00:00,6.946921,2
20/09/2018 00:00:00,0.03195463,1
27/09/2018 00:00:00,-6.314395,3
08/10/2018 00:00:00,-7,2
10/10/2018 00:00:00,-9.1,3
11/10/2018 00:00:00,8.281938,2
22/10/2018 00:00:00,-3.99361,1
24/10/2018 00:00:00,-3.5,1
26/10/2018 00:00:00,5.280624,1
02/11/2018 00:00:00,0.4838308,1
14/11/2018 00:00:00,-7,2
20/11/2018 00:00:00,5.439685,1
29/11/2018 00:00:00,0.5046206,1
11/12/2018 00:00:00,-3.5,1
17/12/2018 00:00:00,-2.1,1
21/12/2018 00:00:00,-2.1,1
08/01/2019 00:00:00,-0.3881786,1
25/01/2019 00:00:00,-0.1866117,1
31/01/2019 00:00:00,0.2726214,1
