{WebName},{DateRead},{open},{close},{high},{low},{AnalyzedOne},{AnalyzedTwo},{AnalyzedTwoPer},{signalType},{signalResult},{profitPer},{dateClose},{lossCut},{profitCut}
IJH.HIS,28/1/2019,180.22,181.43,181.62,179.92,-1,-1,85.32283,Short,Miss,-0.02695263,5/2/2019,0,0
IJH.HIS,7/1/2019,168.24,170.05,171.3,167.57,-1,-1,83.40383,Short,Miss,-0.03546015,15/1/2019,0,0
IJH.HIS,30/11/2018,186.31,187.79,188.11,186.02,-1,-1,93.29945,Short,Hit,0.06139836,11/12/2018,0,0
IJH.HIS,5/11/2018,186.02,186.69,187.33,185.39,-1,-1,88.96096,Short,Hit,0.00921314,13/11/2018,0,0
IJH.HIS,24/10/2018,183.86,178.31,184.31,178.23,1,1,15.54925,Long,Hit,0.04122038,1/11/2018,0,0
IJH.HIS,27/9/2018,200.84,200.68,201.55,200.29,1,1,12.62483,Long,Miss,-0.02252337,5/10/2018,0,0
IJH.HIS,31/7/2018,196.81,198.1,198.75,196.62,1,1,19.0516,Long,Hit,0.01317517,8/8/2018,0,0
IJH.HIS,27/6/2018,196.18,193.72,197.07,193.67,1,1,10.20475,Long,Hit,0.02477805,6/7/2018,0,0
IJH.HIS,23/3/2018,187.24,183.45,187.6,183.36,1,1,13.60714,Long,Hit,0.01226492,3/4/2018,0,0
IJH.HIS,1/2/2018,194.79,195.41,195.87,194.33,1,1,12.94425,Long,Miss,-0.07942277,8/2/2018,0,0
IJH.HIS,18/8/2017,168.67,168.83,169.69,168.29,1,1,15.63867,Long,Hit,0.009950794,28/8/2017,0,0
IJH.HIS,1/8/2017,176.2,175.94,176.29,175.36,1,1,16.72213,Long,Miss,-0.01625554,9/8/2017,0,0
IJH.HIS,22/6/2017,173.34,173.57,174.01,172.72,1,1,18.49206,Long,Hit,0.002189259,30/6/2017,0,0
IJH.HIS,23/3/2017,168.97,169.38,170.47,168.47,1,1,16.37318,Long,Hit,0.01086313,31/3/2017,0,0
IJH.HIS,8/3/2017,171.8,170.68,172.11,170.63,1,1,8.88901,Long,Hit,0.01101479,16/3/2017,0,0
IJH.HIS,30/12/2016,166.43,165.34,166.44,165.01,1,1,11.43687,Long,Hit,0.01270114,10/1/2017,0,0
IJH.HIS,27/10/2016,151.52,149.76,151.54,149.41,1,1,20.1563,Long,Miss,-0.014423,4/11/2016,0,0
IJH.HIS,13/9/2016,153.43,151.79,153.77,151.11,1,1,17.67766,Long,Hit,0.01857835,21/9/2016,0,0
IJH.HIS,28/6/2016,142.45,143.96,144.01,142.37,1,1,16.18704,Long,Hit,0.03459291,7/7/2016,0,0
IJH.HIS,14/6/2016,147.84,147.91,148.56,147.1,1,1,19.24225,Long,Hit,0.005138223,22/6/2016,0,0
IJH.HIS,19/5/2016,142.51,142.95,143.59,141.79,1,1,19.35978,Long,Hit,0.04421131,27/5/2016,0,0
IJH.HIS,5/5/2016,145.04,144.43,145.48,144.07,1,1,12.21913,Long,Miss,-0.004015693,13/5/2016,0,0
IJH.HIS,14/4/2016,146.01,145.61,146.29,145.44,-1,-1,86.21818,Short,Miss,-0.01256783,22/4/2016,0,0
IJH.HIS,30/3/2016,144.08,144.03,144.84,143.75,-1,-1,79.6116,Short,Hit,0.01749638,7/4/2016,0,0
IJH.HIS,14/3/2016,140.44,140.25,140.6,139.7,-1,-1,83.87444,Short,Miss,-0.02024953,22/3/2016,0,0
IJH.HIS,18/2/2016,130.94,130.48,131,129.89,-1,-1,84.08205,Short,Miss,-0.02659412,26/2/2016,0,0
IJH.HIS,29/1/2016,128,131.53,131.6,127.97,-1,-1,83.17027,Short,Hit,0.04637724,8/2/2016,0,0
IJH.HIS,24/12/2015,141.1,141.15,141.62,140.57,-1,-1,79.99543,Short,Hit,0.02500885,5/1/2016,0,0
IJH.HIS,24/11/2015,144.35,145.98,146.25,144.02,-1,-1,85.76733,Short,Hit,0.01870116,3/12/2015,0,0
