Date,DailyProfit,ActiveSignals
29/06/2015 00:00:00,-2.435599,1
09/07/2015 00:00:00,10,1
21/08/2015 00:00:00,-11.84162,1
12/11/2015 00:00:00,2.907872,1
13/11/2015 00:00:00,0.4904868,1
20/11/2015 00:00:00,-0.296608,4
23/11/2015 00:00:00,0.341334,1
24/11/2015 00:00:00,0.2337645,1
01/12/2015 00:00:00,1.143,3
04/12/2015 00:00:00,-3.5,1
09/12/2015 00:00:00,-5.6,2
10/12/2015 00:00:00,-4.208922,3
11/12/2015 00:00:00,19.95226,4
21/12/2015 00:00:00,2.905197,1
22/12/2015 00:00:00,-0.8969598,2
24/12/2015 00:00:00,0.3126106,1
06/01/2016 00:00:00,-7.879641,4
07/01/2016 00:00:00,-5.6,2
28/01/2016 00:00:00,0.1370232,1
29/01/2016 00:00:00,0.9763459,2
01/02/2016 00:00:00,3.244184,5
18/02/2016 00:00:00,-0.7887584,5
19/02/2016 00:00:00,-0.08046877,3
26/02/2016 00:00:00,-1.113978,2
01/03/2016 00:00:00,-0.1605516,2
02/03/2016 00:00:00,-0.3380087,2
03/03/2016 00:00:00,-0.4099039,1
11/03/2016 00:00:00,-0.3001588,2
14/03/2016 00:00:00,-0.6460519,4
18/03/2016 00:00:00,0.03673173,1
29/03/2016 00:00:00,-0.06886365,1
30/03/2016 00:00:00,0.2187048,1
31/03/2016 00:00:00,0.4024493,3
05/04/2016 00:00:00,3.980247,1
11/04/2016 00:00:00,6,1
12/04/2016 00:00:00,-0.4905414,1
13/04/2016 00:00:00,0.06797317,1
14/04/2016 00:00:00,-0.5585785,4
27/04/2016 00:00:00,-7.297454,3
28/04/2016 00:00:00,-2.1,1
03/05/2016 00:00:00,-0.1425146,1
05/05/2016 00:00:00,6.423703,6
13/05/2016 00:00:00,-0.04648239,1
17/05/2016 00:00:00,5.421689,1
19/05/2016 00:00:00,8.90834,4
10/06/2016 00:00:00,-2.1,1
13/06/2016 00:00:00,13.32024,4
14/06/2016 00:00:00,0.351992,4
15/06/2016 00:00:00,0.2293701,1
21/06/2016 00:00:00,-5.199999,1
24/06/2016 00:00:00,6,1
28/06/2016 00:00:00,17.44485,7
05/07/2016 00:00:00,-0.4421899,1
25/07/2016 00:00:00,6.703853,3
02/08/2016 00:00:00,11.06228,3
24/08/2016 00:00:00,-0.08097094,1
25/08/2016 00:00:00,6.326332,3
09/09/2016 00:00:00,-2.1,1
13/09/2016 00:00:00,19.38645,4
15/09/2016 00:00:00,-0.2483974,3
20/09/2016 00:00:00,0.330131,2
12/10/2016 00:00:00,1.942379,1
13/10/2016 00:00:00,0.2648013,1
18/10/2016 00:00:00,6.46493,3
27/10/2016 00:00:00,-3.680288,2
31/10/2016 00:00:00,-5.459665,4
02/11/2016 00:00:00,9.78114,3
03/11/2016 00:00:00,0.05061278,2
04/11/2016 00:00:00,13.47614,3
11/11/2016 00:00:00,0.1374823,1
18/11/2016 00:00:00,0.3071692,1
02/12/2016 00:00:00,11.05147,3
16/12/2016 00:00:00,-0.2560459,1
28/12/2016 00:00:00,3.375511,1
30/12/2016 00:00:00,17.09682,7
03/01/2017 00:00:00,-0.395145,1
10/01/2017 00:00:00,1.696604,3
19/01/2017 00:00:00,14.20961,4
23/01/2017 00:00:00,-0.1440675,1
01/02/2017 00:00:00,3.195666,3
15/02/2017 00:00:00,-2.467053,1
24/02/2017 00:00:00,5.317567,3
28/02/2017 00:00:00,1.923745,1
02/03/2017 00:00:00,0.03627863,1
06/03/2017 00:00:00,0.03598554,1
08/03/2017 00:00:00,8.87612,4
10/03/2017 00:00:00,-0.05535016,1
20/03/2017 00:00:00,-7.494845,4
22/03/2017 00:00:00,2.01555,3
23/03/2017 00:00:00,8.499836,4
07/04/2017 00:00:00,-0.1016001,1
10/04/2017 00:00:00,-2.1,1
12/04/2017 00:00:00,4.142938,4
13/04/2017 00:00:00,0.7950604,3
18/04/2017 00:00:00,0.2675785,1
12/05/2017 00:00:00,-0.03321039,1
17/05/2017 00:00:00,5.255476,1
13/06/2017 00:00:00,0.630657,1
22/06/2017 00:00:00,-6.939325,4
23/06/2017 00:00:00,1.192969,2
03/07/2017 00:00:00,4.53016,3
19/07/2017 00:00:00,-0.1118109,1
31/07/2017 00:00:00,0.30584,1
01/08/2017 00:00:00,-7.203195,3
10/08/2017 00:00:00,-0.02255691,1
11/08/2017 00:00:00,7.172015,4
14/08/2017 00:00:00,-0.3220391,3
18/08/2017 00:00:00,0.1548467,3
21/08/2017 00:00:00,7.082864,5
05/09/2017 00:00:00,-0.4497112,1
07/09/2017 00:00:00,11.53427,4
20/09/2017 00:00:00,-0.308573,1
25/09/2017 00:00:00,8.192048,3
26/09/2017 00:00:00,0.2893905,1
09/10/2017 00:00:00,2.645031,1
20/10/2017 00:00:00,-3.5,1
26/10/2017 00:00:00,0.2363678,1
09/11/2017 00:00:00,-7,2
14/11/2017 00:00:00,0.6407258,3
15/11/2017 00:00:00,15.48653,3
01/12/2017 00:00:00,0.08998637,1
06/12/2017 00:00:00,11.49188,3
29/12/2017 00:00:00,8.658341,4
29/01/2018 00:00:00,-2.1,1
31/01/2018 00:00:00,-7.906814,3
01/02/2018 00:00:00,-0.9927846,1
02/02/2018 00:00:00,-10.04299,5
05/02/2018 00:00:00,-18.74078,4
06/02/2018 00:00:00,-6.586121,4
09/02/2018 00:00:00,23.56179,4
02/03/2018 00:00:00,14.89812,7
21/03/2018 00:00:00,-7.844978,4
22/03/2018 00:00:00,-9.900318,6
23/03/2018 00:00:00,0.1533115,1
26/03/2018 00:00:00,-0.1316872,1
11/04/2018 00:00:00,-0.5326306,1
24/04/2018 00:00:00,-0.09108448,1
25/04/2018 00:00:00,7.504703,3
02/05/2018 00:00:00,1.040517,2
21/05/2018 00:00:00,-0.1725996,1
29/05/2018 00:00:00,19.78262,3
05/06/2018 00:00:00,0.1453481,1
19/06/2018 00:00:00,-6.861185,3
20/06/2018 00:00:00,-0.8544776,3
25/06/2018 00:00:00,2.084856,3
27/06/2018 00:00:00,1.024464,3
10/07/2018 00:00:00,0.05953705,1
11/07/2018 00:00:00,-0.4251396,2
17/07/2018 00:00:00,-0.5365589,2
24/07/2018 00:00:00,0.06245511,2
25/07/2018 00:00:00,0.3220075,1
30/07/2018 00:00:00,3.810188,1
31/07/2018 00:00:00,12.3114,5
08/08/2018 00:00:00,0.3161211,2
10/08/2018 00:00:00,-7.363595,3
13/08/2018 00:00:00,2.207966,1
24/08/2018 00:00:00,0.2997455,1
28/08/2018 00:00:00,0.2011189,2
10/09/2018 00:00:00,7.384689,4
13/09/2018 00:00:00,0.6332492,2
20/09/2018 00:00:00,0.03195463,1
27/09/2018 00:00:00,-6.479325,6
08/10/2018 00:00:00,-7.127758,3
10/10/2018 00:00:00,-9.079796,5
11/10/2018 00:00:00,8.48422,3
12/10/2018 00:00:00,-0.6991319,3
22/10/2018 00:00:00,-3.99361,1
24/10/2018 00:00:00,-2.984745,2
26/10/2018 00:00:00,6.063437,3
02/11/2018 00:00:00,0.4838308,1
05/11/2018 00:00:00,0.1804625,3
06/11/2018 00:00:00,0.6484571,1
14/11/2018 00:00:00,-8.178291,5
20/11/2018 00:00:00,6.610459,3
21/11/2018 00:00:00,0.5013775,1
29/11/2018 00:00:00,2.811069,4
30/11/2018 00:00:00,1.289881,2
11/12/2018 00:00:00,-4.053269,2
17/12/2018 00:00:00,-2.1,1
21/12/2018 00:00:00,-2.1,1
04/01/2019 00:00:00,-0.8379899,3
07/01/2019 00:00:00,-1.35624,4
08/01/2019 00:00:00,-0.3881786,1
25/01/2019 00:00:00,-0.4357127,2
28/01/2019 00:00:00,-0.3369078,1
31/01/2019 00:00:00,0.2126496,2
01/02/2019 00:00:00,0.2210086,3
04/02/2019 00:00:00,0.02867038,2
13/02/2019 00:00:00,-0.108186,0
14/02/2019 00:00:00,-0.2235347,0
