Date,DailyProfit,ActiveSignals
29/06/2015 00:00:00,-2.435599,2
30/06/2015 00:00:00,0,4
09/07/2015 00:00:00,10,2
21/08/2015 00:00:00,-11.84162,3
12/11/2015 00:00:00,2.907872,2
13/11/2015 00:00:00,0,2
04/12/2015 00:00:00,-3.5,2
09/12/2015 00:00:00,-5.6,3
10/12/2015 00:00:00,-3.5,3
11/12/2015 00:00:00,20,7
21/12/2015 00:00:00,2.905197,3
22/12/2015 00:00:00,-0.8955239,3
06/01/2016 00:00:00,-7,7
07/01/2016 00:00:00,-5.6,4
05/04/2016 00:00:00,3.980247,2
11/04/2016 00:00:00,6,1
27/04/2016 00:00:00,-7,4
28/04/2016 00:00:00,-2.1,1
05/05/2016 00:00:00,6.636879,11
17/05/2016 00:00:00,5.421689,2
19/05/2016 00:00:00,7.615892,5
10/06/2016 00:00:00,-2.1,1
13/06/2016 00:00:00,13.46154,4
14/06/2016 00:00:00,0,6
15/06/2016 00:00:00,0,2
17/06/2016 00:00:00,0,1
21/06/2016 00:00:00,-5.199999,2
24/06/2016 00:00:00,6,1
28/06/2016 00:00:00,15.70881,11
25/07/2016 00:00:00,6.929734,4
02/08/2016 00:00:00,10.9154,4
25/08/2016 00:00:00,6.29311,4
09/09/2016 00:00:00,-2.1,1
13/09/2016 00:00:00,18.5228,4
15/09/2016 00:00:00,0,4
20/09/2016 00:00:00,0,4
12/10/2016 00:00:00,1.942379,1
18/10/2016 00:00:00,6.450591,4
27/10/2016 00:00:00,-3.5,2
31/10/2016 00:00:00,-5.6,6
02/11/2016 00:00:00,9.35323,3
03/11/2016 00:00:00,0,1
04/11/2016 00:00:00,10,3
02/12/2016 00:00:00,10.69927,4
28/12/2016 00:00:00,3.375511,1
30/12/2016 00:00:00,16.48402,12
10/01/2017 00:00:00,1.671303,4
19/01/2017 00:00:00,13.54772,4
23/01/2017 00:00:00,0,2
01/02/2017 00:00:00,3.131749,4
15/02/2017 00:00:00,-2.467053,1
24/02/2017 00:00:00,5.113313,4
28/02/2017 00:00:00,1.923745,1
08/03/2017 00:00:00,8.187496,4
10/03/2017 00:00:00,0,1
20/03/2017 00:00:00,-7,4
22/03/2017 00:00:00,1.874999,5
23/03/2017 00:00:00,8.169727,5
10/04/2017 00:00:00,-2.1,1
12/04/2017 00:00:00,4.186042,4
13/04/2017 00:00:00,0,6
18/04/2017 00:00:00,0,2
17/05/2017 00:00:00,5.255476,1
22/06/2017 00:00:00,-7,4
23/06/2017 00:00:00,0,1
03/07/2017 00:00:00,4.116217,4
01/08/2017 00:00:00,-7,4
10/08/2017 00:00:00,-0.02255691,1
11/08/2017 00:00:00,6.969455,4
14/08/2017 00:00:00,0,4
18/08/2017 00:00:00,0,4
21/08/2017 00:00:00,6.705667,8
07/09/2017 00:00:00,10.60252,4
25/09/2017 00:00:00,7.921566,4
09/10/2017 00:00:00,2.645031,1
20/10/2017 00:00:00,-3.5,2
09/11/2017 00:00:00,-7,2
14/11/2017 00:00:00,0,2
15/11/2017 00:00:00,15.39191,4
06/12/2017 00:00:00,11.29807,4
29/12/2017 00:00:00,8.11263,5
29/01/2018 00:00:00,-2.1,1
31/01/2018 00:00:00,-7,4
01/02/2018 00:00:00,0,2
02/02/2018 00:00:00,-9.1,5
05/02/2018 00:00:00,-19.03446,6
06/02/2018 00:00:00,-7,4
09/02/2018 00:00:00,22.35265,6
02/03/2018 00:00:00,12.81344,8
21/03/2018 00:00:00,-7,6
22/03/2018 00:00:00,-9.1,7
23/03/2018 00:00:00,0,1
25/04/2018 00:00:00,7.256515,4
02/05/2018 00:00:00,0,1
29/05/2018 00:00:00,19.52203,4
19/06/2018 00:00:00,-7,4
20/06/2018 00:00:00,0,3
25/06/2018 00:00:00,2.089469,4
27/06/2018 00:00:00,0,6
30/07/2018 00:00:00,3.810188,1
31/07/2018 00:00:00,11.58493,6
10/08/2018 00:00:00,-7,4
13/08/2018 00:00:00,2.207966,1
10/09/2018 00:00:00,6.946921,5
13/09/2018 00:00:00,0,2
27/09/2018 00:00:00,-7,6
08/10/2018 00:00:00,-7,4
10/10/2018 00:00:00,-9.1,7
11/10/2018 00:00:00,8.281938,4
12/10/2018 00:00:00,0,3
22/10/2018 00:00:00,-3.99361,2
24/10/2018 00:00:00,-3.5,2
26/10/2018 00:00:00,5.280624,5
14/11/2018 00:00:00,-7,6
20/11/2018 00:00:00,5.439685,3
21/11/2018 00:00:00,0,1
11/12/2018 00:00:00,-3.5,2
17/12/2018 00:00:00,-2.1,1
21/12/2018 00:00:00,-2.1,1
