Date,DailyProfit,ActiveSignals
29/06/2015 00:00:00,-2.435599,1
09/07/2015 00:00:00,10,1
14/07/2015 00:00:00,0,1
21/08/2015 00:00:00,-11.84162,1
16/09/2015 00:00:00,0,1
06/10/2015 00:00:00,0,4
07/10/2015 00:00:00,0,2
16/10/2015 00:00:00,0,3
19/10/2015 00:00:00,0,1
26/10/2015 00:00:00,0,4
04/11/2015 00:00:00,0,2
12/11/2015 00:00:00,2.907872,1
25/11/2015 00:00:00,0,1
04/12/2015 00:00:00,-3.5,1
09/12/2015 00:00:00,-5.6,2
10/12/2015 00:00:00,-3.5,1
11/12/2015 00:00:00,20,2
21/12/2015 00:00:00,2.905197,1
22/12/2015 00:00:00,-0.8955239,1
06/01/2016 00:00:00,-7,2
07/01/2016 00:00:00,-5.6,2
01/02/2016 00:00:00,0,4
19/02/2016 00:00:00,0,3
25/02/2016 00:00:00,0,1
03/03/2016 00:00:00,0,5
14/03/2016 00:00:00,0,2
15/03/2016 00:00:00,0,2
18/03/2016 00:00:00,0,2
21/03/2016 00:00:00,0,1
31/03/2016 00:00:00,0,1
05/04/2016 00:00:00,3.980247,1
11/04/2016 00:00:00,6,1
15/04/2016 00:00:00,0,1
27/04/2016 00:00:00,-7,2
28/04/2016 00:00:00,-2.1,1
05/05/2016 00:00:00,6.636879,2
17/05/2016 00:00:00,5.421689,1
19/05/2016 00:00:00,7.615892,1
10/06/2016 00:00:00,-2.1,1
13/06/2016 00:00:00,13.46154,2
21/06/2016 00:00:00,-5.199999,1
24/06/2016 00:00:00,6,1
28/06/2016 00:00:00,15.70881,2
25/07/2016 00:00:00,6.929734,2
02/08/2016 00:00:00,10.9154,2
09/08/2016 00:00:00,0,1
25/08/2016 00:00:00,6.29311,2
09/09/2016 00:00:00,-2.1,1
13/09/2016 00:00:00,18.5228,2
12/10/2016 00:00:00,1.942379,1
18/10/2016 00:00:00,6.450591,2
27/10/2016 00:00:00,-3.5,1
31/10/2016 00:00:00,-5.6,2
02/11/2016 00:00:00,9.35323,2
04/11/2016 00:00:00,10,1
09/11/2016 00:00:00,0,1
10/11/2016 00:00:00,0,1
11/11/2016 00:00:00,0,1
16/11/2016 00:00:00,0,1
02/12/2016 00:00:00,10.69927,2
28/12/2016 00:00:00,3.375511,1
30/12/2016 00:00:00,16.48402,2
10/01/2017 00:00:00,1.671303,2
19/01/2017 00:00:00,13.54772,2
01/02/2017 00:00:00,3.131749,2
15/02/2017 00:00:00,-2.467053,1
24/02/2017 00:00:00,5.113313,2
28/02/2017 00:00:00,1.923745,1
08/03/2017 00:00:00,8.187496,2
20/03/2017 00:00:00,-7,2
22/03/2017 00:00:00,1.874999,1
23/03/2017 00:00:00,8.169727,2
10/04/2017 00:00:00,-2.1,1
12/04/2017 00:00:00,4.186042,2
17/05/2017 00:00:00,5.255476,1
13/06/2017 00:00:00,0,1
22/06/2017 00:00:00,-7,2
03/07/2017 00:00:00,4.116217,2
01/08/2017 00:00:00,-7,2
10/08/2017 00:00:00,-0.02255691,1
11/08/2017 00:00:00,6.969455,2
21/08/2017 00:00:00,6.705667,2
07/09/2017 00:00:00,10.60252,3
13/09/2017 00:00:00,0,2
22/09/2017 00:00:00,0,1
25/09/2017 00:00:00,7.921566,2
09/10/2017 00:00:00,2.645031,1
20/10/2017 00:00:00,-3.5,1
09/11/2017 00:00:00,-7,2
15/11/2017 00:00:00,15.39191,2
06/12/2017 00:00:00,11.29807,2
29/12/2017 00:00:00,8.11263,3
29/01/2018 00:00:00,-2.1,1
31/01/2018 00:00:00,-7,2
02/02/2018 00:00:00,-9.1,3
05/02/2018 00:00:00,-19.03446,2
06/02/2018 00:00:00,-7,2
09/02/2018 00:00:00,22.35265,2
02/03/2018 00:00:00,12.81344,2
21/03/2018 00:00:00,-7,2
22/03/2018 00:00:00,-9.1,3
12/04/2018 00:00:00,0,1
18/04/2018 00:00:00,0,3
25/04/2018 00:00:00,7.256515,2
08/05/2018 00:00:00,0,1
09/05/2018 00:00:00,0,2
10/05/2018 00:00:00,0,2
29/05/2018 00:00:00,19.52203,2
05/06/2018 00:00:00,0,1
07/06/2018 00:00:00,0,1
08/06/2018 00:00:00,0,1
19/06/2018 00:00:00,-7,2
25/06/2018 00:00:00,2.089469,2
18/07/2018 00:00:00,0,1
25/07/2018 00:00:00,0,1
30/07/2018 00:00:00,3.810188,1
31/07/2018 00:00:00,11.58493,2
10/08/2018 00:00:00,-7,2
13/08/2018 00:00:00,2.207966,1
10/09/2018 00:00:00,6.946921,2
27/09/2018 00:00:00,-7,2
03/10/2018 00:00:00,0,1
08/10/2018 00:00:00,-7,2
10/10/2018 00:00:00,-9.1,3
11/10/2018 00:00:00,8.281938,2
22/10/2018 00:00:00,-3.99361,1
24/10/2018 00:00:00,-3.5,1
26/10/2018 00:00:00,5.280624,1
06/11/2018 00:00:00,0,2
07/11/2018 00:00:00,0,2
08/11/2018 00:00:00,0,1
14/11/2018 00:00:00,-7,2
20/11/2018 00:00:00,5.439685,1
30/11/2018 00:00:00,0,5
11/12/2018 00:00:00,-3.5,1
17/12/2018 00:00:00,-2.1,1
21/12/2018 00:00:00,-2.1,1
07/01/2019 00:00:00,0,1
08/01/2019 00:00:00,0,5
18/01/2019 00:00:00,0,1
29/01/2019 00:00:00,0,1
01/02/2019 00:00:00,0,2
04/02/2019 00:00:00,0,2
13/02/2019 00:00:00,0,0
