Date,DailyProfit,ActiveSignals
14/07/2015 00:00:00,0,1
16/09/2015 00:00:00,0,1
06/10/2015 00:00:00,0,4
07/10/2015 00:00:00,0,2
16/10/2015 00:00:00,0,3
19/10/2015 00:00:00,0,1
26/10/2015 00:00:00,0,4
04/11/2015 00:00:00,0,2
25/11/2015 00:00:00,0,3
01/02/2016 00:00:00,0,8
19/02/2016 00:00:00,0,6
25/02/2016 00:00:00,0,2
03/03/2016 00:00:00,0,10
14/03/2016 00:00:00,0,4
15/03/2016 00:00:00,0,4
18/03/2016 00:00:00,0,4
21/03/2016 00:00:00,0,2
31/03/2016 00:00:00,0,2
14/04/2016 00:00:00,0,1
15/04/2016 00:00:00,0,3
26/04/2016 00:00:00,0,2
07/07/2016 00:00:00,0,1
09/08/2016 00:00:00,0,1
09/11/2016 00:00:00,0,1
10/11/2016 00:00:00,0,1
11/11/2016 00:00:00,0,1
16/11/2016 00:00:00,0,1
13/06/2017 00:00:00,0,1
07/09/2017 00:00:00,0,2
13/09/2017 00:00:00,0,3
22/09/2017 00:00:00,0,2
12/04/2018 00:00:00,0,2
18/04/2018 00:00:00,0,3
08/05/2018 00:00:00,0,1
09/05/2018 00:00:00,0,2
10/05/2018 00:00:00,0,2
05/06/2018 00:00:00,0,1
07/06/2018 00:00:00,0,1
08/06/2018 00:00:00,0,1
18/07/2018 00:00:00,0,2
25/07/2018 00:00:00,0,2
03/10/2018 00:00:00,0,1
06/11/2018 00:00:00,0,4
07/11/2018 00:00:00,0,3
08/11/2018 00:00:00,0,1
30/11/2018 00:00:00,0,9
07/01/2019 00:00:00,0,2
08/01/2019 00:00:00,0,10
18/01/2019 00:00:00,0,2
29/01/2019 00:00:00,0,2
01/02/2019 00:00:00,0,4
04/02/2019 00:00:00,0,4
13/02/2019 00:00:00,0,0
